Date,Open,High,Low,Volume,MarketCap
12-Jan-21,35516.36,36568.53,32697.98,74773277909,6.3092E+11
13-Jan-21,33915.12,37599.96,32584.67,69364315979,6.9407E+11
14-Jan-21,37325.11,39966.41,36868.56,63615990033,7.28904E+11
15-Jan-21,39156.71,39577.71,34659.59,67760757881,6.85006E+11
16-Jan-21,36821.65,37864.37,35633.55,57706187875,6.73001E+11
17-Jan-21,36163.65,36722.35,34069.32,52359854336,6.65832E+11
18-Jan-21,35792.24,37299.29,34883.84,49511702429,6.81E+11
19-Jan-21,36642.23,37755.89,36069.81,57244195486,6.71E+11
20-Jan-21,36050.11,36378.33,33570.48,66834573161,6.61E+11
21-Jan-21,35549.4,35552.68,30250.75,75643067688,5.74E+11
22-Jan-21,30817.63,33811.85,28953.37,77207272511,6.14E+11
23-Jan-21,32985.76,33360.98,31493.16,48354737975,5.97E+11
