Date,Open,High,Low,Close,Volume,MarketCap
29-Apr-13,134.44,147.49,134,144.54,0,1603768865
30-Apr-13,144,146.93,134.05,139,0,1542813125
01-May-13,139,139.89,107.72,116.99,0,1298954594
02-May-13,116.38,125.6,92.28,105.21,0,1168517495
03-May-13,106.25,108.13,79.1,97.75,0,1085995169
04-May-13,98.1,115,92.5,112.5,0,1250316563
05-May-13,112.9,118.8,107.14,115.91,0,1288693176
06-May-13,115.98,124.66,106.64,112.3,0,1249023060
07-May-13,112.25,113.44,97.7,111.5,0,1240593600
08-May-13,109.6,115.78,109.6,113.57,0,1264049202
09-May-13,113.2,113.46,109.26,112.67,0,1254535382
10-May-13,112.8,122,111.55,117.2,0,1305479080
11-May-13,117.7,118.68,113.01,115.24,0,1284207489
12-May-13,115.64,117.45,113.43,115,0,1281982625
13-May-13,114.82,118.7,114.5,117.98,0,1315710011
14-May-13,117.98,119.8,110.25,111.5,0,1243874488
15-May-13,111.4,115.81,103.5,114.22,0,1274623813
16-May-13,114.22,118.76,112.2,118.76,0,1325726787
17-May-13,118.21,125.3,116.57,123.01,0,1373723882
18-May-13,123.5,125.25,122.3,123.5,0,1379574546
19-May-13,123.21,124.5,119.57,121.99,0,1363204703
20-May-13,122.5,123.62,120.12,122,0,1363709900
21-May-13,122.02,123,121.21,122.88,0,1374013440
22-May-13,122.89,124,122,123.89,0,1385778993
23-May-13,123.8,126.93,123.1,126.7,0,1417769833
24-May-13,126.3,133.85,125.72,133.2,0,1491070770
25-May-13,133.1,133.22,128.9,131.98,0,1477958233
26-May-13,131.99,136,130.62,133.48,0,1495293015
27-May-13,133.5,135.46,124.7,129.74,0,1454029510
28-May-13,129.77,130.58,125.6,129,0,1446189975
29-May-13,129,132.59,127.66,132.3,0,1483734578
30-May-13,132.25,132.25,127,128.8,0,1445053941
31-May-13,128.8,129.9,126.4,129,0,1447870200
01-Jun-13,128.82,129.78,127.2,129.3,0,1451916165
02-Jun-13,129.3,129.4,115.05,122.29,0,1373837500
03-Jun-13,122.5,122.5,116,122.22,0,1373708058
04-Jun-13,120.74,123.84,119.1,121.42,0,1365337545
05-Jun-13,121.4,123.47,119.9,121.65,0,1368486469
06-Jun-13,121.9,123.1,117.25,118,0,1327960200
07-Jun-13,118.97,119,106.42,111.5,0,1255258638
08-Jun-13,111,111.42,107.3,108.3,0,1219717920
09-Jun-13,107.89,108.99,88.5,100,0,1126642500
10-Jun-13,100.44,110.1,95,106.35,0,1198638945
11-Jun-13,106.35,109.6,104,108.9,0,1227874725
12-Jun-13,109,111.79,106.73,108.15,0,1219969853
13-Jun-13,108.78,110.3,100.53,104,0,1173637400
14-Jun-13,103.95,104.7,98,99.98,0,1128709292
15-Jun-13,100,103.7,98,99.99,0,1129245604
16-Jun-13,99.8,101.6,98.95,99.51,0,1124306272
17-Jun-13,99.9,102.21,99,101.7,0,1149418485
18-Jun-13,101.95,111.11,101.03,107.4,0,1214216070
19-Jun-13,107.05,110.22,105.75,108.25,0,1224193838
20-Jun-13,108.25,114.3,107.5,110.15,0,1246104920
21-Jun-13,111.29,114.99,107.68,109.5,0,1239214238
22-Jun-13,109.5,109.96,107.51,108.3,0,1226110328
23-Jun-13,108.2,108.8,106.23,107.6,0,1218626490
24-Jun-13,107.9,108.33,100.98,102.74,0,1163935726
25-Jun-13,102.09,106.47,101.01,103.95,0,1178086140
26-Jun-13,103.33,105.49,102.79,104,0,1179105200
27-Jun-13,104,104,101.1,101.44,0,1150468023
28-Jun-13,101.74,101.74,92.33,94.65,0,1073887457
29-Jun-13,94.66,99.99,93,94.99,0,1078198524
30-Jun-13,95,98.12,94.22,96.61,0,1096957771
01-Jul-13,97.51,97.66,86.3,88.05,0,1000065296
02-Jul-13,88.05,92.3,87.51,90.13,0,1024082228
03-Jul-13,90.4,90.98,76.98,77.53,0,881233116
04-Jul-13,78.89,83.11,72,80.53,0,915618609
05-Jul-13,79.99,80,65.53,68.43,0,778411179
06-Jul-13,68.5,75,66.82,70.28,0,799741619
07-Jul-13,68.75,74.56,66.62,74.56,0,848838979
08-Jul-13,76.5,80,72.6,76.52,0,871457940
09-Jul-13,76,78.3,72.52,76.69,0,873841849
10-Jul-13,76.72,87,76.2,86.76,0,988957719
11-Jul-13,88,90.28,85.08,88.98,0,1014650063
12-Jul-13,88.98,104,88.17,93.59,0,1067634684
13-Jul-13,93.99,98.25,88.06,98.13,0,1119796120
14-Jul-13,98.7,98.7,92.86,94.69,0,1080917760
15-Jul-13,93.61,101.9,93.11,98.4,0,1123658944
16-Jul-13,98.89,99.86,96.14,97.45,0,1113217032
17-Jul-13,96.71,99.97,96.18,98.5,0,1125658000
18-Jul-13,98.5,98.8,86.2,90.58,0,1035512825
19-Jul-13,90.07,95.2,87.8,92.17,0,1054083771
20-Jul-13,92,93.1,89.27,89.39,0,1022707665
21-Jul-13,89.82,91.95,88,90.76,0,1038798980
22-Jul-13,92,92,90.08,91.61,0,1048939081
23-Jul-13,91.6,96.82,91.6,95.56,0,1094484058
24-Jul-13,95.56,95.99,93,94.51,0,1082848325
25-Jul-13,94.5,97.33,93.87,96.9,0,1110587858
26-Jul-13,96.95,97.47,96,96.02,0,1100902800
27-Jul-13,96.02,97,93,94.12,0,1079491697
28-Jul-13,94.4,100.58,94,99.76,0,1144602838
29-Jul-13,98.6,102.5,98.46,101.2,0,1161619140
30-Jul-13,101.49,107.99,100.47,107.99,0,1240092366
31-Jul-13,107.95,111.34,103.88,106.09,0,1218777834
01-Aug-13,106.21,108,103.01,104,0,1195225200
02-Aug-13,104.86,108,101.21,104.5,0,1201487185
03-Aug-13,104.5,105.78,102,104,0,1196226508
04-Aug-13,104.95,105.95,103.52,105.14,0,1209797378
05-Aug-13,105.12,107.77,105,106.22,0,1222677176
06-Aug-13,106.72,107.38,105.56,106.75,0,1229098150
07-Aug-13,106.75,106.75,106.75,106.75,0,1229098150
08-Aug-13,106.75,106.75,101.26,103,0,1187105900
09-Aug-13,103.07,105.75,101.93,102.8,0,1185307130
10-Aug-13,102.8,103.9,102.41,103,0,1188153925
11-Aug-13,103,105.19,102.75,105,0,1211789250
12-Aug-13,105,108,103.5,106.64,0,1231248581
13-Aug-13,106.99,109.35,104.65,109,0,1259042650
14-Aug-13,109.56,115,108,112.56,0,1300656724
15-Aug-13,112.56,113.25,109,109.99,0,1271404657
16-Aug-13,110,112.3,108.52,108.99,0,1260352119
17-Aug-13,108.99,113.75,108.22,113.5,0,1312996375
18-Aug-13,112.75,114.69,112,113.5,0,1313544013
19-Aug-13,113.38,123.06,111.77,119,0,1377725475
20-Aug-13,119,123.01,117.51,121.21,0,1403829641
21-Aug-13,121.21,124.91,119.68,123.3,0,1428698678
22-Aug-13,123.3,123.5,120.6,121.15,0,1404437433
23-Aug-13,122,122,118.44,118.5,0,1374309422
24-Aug-13,118.51,121.39,118.02,120.04,0,1392768092
25-Aug-13,119.6,122.99,119.17,122.11,0,1417198897
26-Aug-13,122.11,122.75,119.93,120.06,0,1393847159
27-Aug-13,120.07,127.24,120.07,126.5,0,1469193138
28-Aug-13,126.48,127.32,122.62,122.62,0,1424675798
29-Aug-13,122.62,123.7,122.21,122.39,0,1422584866
30-Aug-13,122.35,135.75,120.99,133.49,0,1552288465
31-Aug-13,133.09,140.89,132.72,135.35,0,1574672051
01-Sep-13,135.14,145.81,134.81,138.34,0,1610215347
02-Sep-13,138.63,146.5,134.89,135.85,0,1581969854
03-Sep-13,135.61,138.34,133,136.77,0,1593346565
04-Sep-13,136.53,144.5,123.61,126.74,0,1477012118
05-Sep-13,126.76,131.44,121.83,126.43,0,1473965191
06-Sep-13,126.49,127.34,119.15,119.15,0,1389646450
07-Sep-13,118.89,125.94,118.46,124.15,0,1448411494
08-Sep-13,124.13,124.72,120.49,121.66,0,1419836072
09-Sep-13,121.86,129.06,119.75,127.11,0,1484085516
10-Sep-13,127.27,129.74,125.9,125.91,0,1470679164
11-Sep-13,125.89,137.83,123.27,135.25,0,1580450350
12-Sep-13,135.55,136.08,131.81,133.13,0,1556386219
13-Sep-13,132.83,137.58,132.27,134.98,0,1578699084
14-Sep-13,135.01,135.85,128.87,129.22,0,1512038756
15-Sep-13,129.4,131.44,128.26,130.37,0,1526085146
16-Sep-13,130.86,132.72,129.77,131.72,0,1542395098
17-Sep-13,131.59,132.76,124.89,131.66,0,1542278406
18-Sep-13,131.71,133.2,130.54,131.47,0,1540598328
19-Sep-13,131.37,131.77,128.45,129.65,0,1519883709
20-Sep-13,129.7,135.62,126.68,127.04,0,1489921944
21-Sep-13,126.95,128.61,126.24,127.43,0,1495101147
22-Sep-13,127.87,133.94,126.59,129.12,0,1515584736
23-Sep-13,128.98,132.73,125.66,125.95,0,1479037148
24-Sep-13,126.05,127.46,125.39,127.25,0,1494974356
25-Sep-13,127.38,129.69,127.33,128.22,0,1507033770
26-Sep-13,128.21,134.93,127.32,128.38,0,1509434269
